occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Glyphodes rubrocinctalis","Glyphodes rubrocinctalis (Guenée, 1854)","9499507","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Trithyris","Prenesta rubrocinctalis","Glyphodes rubrocinctalis","(Guenée, 1854) ","9499507","10861282"
,"Gizma undilinealis","Gizama undilinealis Schaus, 1916","1765532","FUZZY","85","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Gizama","Gizama undilinealis","Gizama undilinealis","Schaus, 1916","1765532",
,"Sericoptera mahometaria","Sericoptera mahometaria (Herrich-Schäffer, 1853)","1966088","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Sericoptera","Sericoptera mahometaria","Sericoptera mahometaria","(Herrich-Schäffer, 1853) ","1966088",
,"Hemiceras punctata","Hemiceras punctata Dognin, 1889","5118656","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Hemiceras","Hemiceras punctata","Hemiceras punctata","Dognin, 1889","5118656",
,"Phrudocentra trimaculata","Phrudocentra trimaculata (Warren, 1901)","1985006","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Phrudocentra","Phrudocentra trimaculata","Phrudocentra trimaculata","(Warren, 1901) ","1985006",
,"Altinote ozomene","Altinote ozomene","10487080","EXACT","97","DOUBTFUL","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea","Altinote ozomene","Altinote ozomene",,"10487080",
,"Phyle cartago","Phyle cartago Rindge, 1990","1964270","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Phyle","Phyle cartago","Phyle cartago","Rindge, 1990","1964270",
,"Eusarca crameraria--green","Eusarca Hübner","7514692","HIGHERRANK","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eusarca",,"Eusarca","Hübner","7514692",
,"Melese amastris","Melese amastris Druce, 1884","1817562","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Melese","Melese amastris","Melese amastris","Druce, 1884","1817562",
,"Gn_sp_san_luis_1011",,,"NONE","100",,,,,,,,,,,,,
,"Phyllodonta indeterminata","Phyllodonta indeterminata Schaus, 1901","1963980","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Phyllodonta","Phyllodonta indeterminata","Phyllodonta indeterminata","Schaus, 1901","1963980",
,"= I_PBA13087",,,"NONE","100",,,,,,,,,,,,,
,"Scaptius vinasia","Scaptius vinasia Schaus, 1910","1805891","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Scaptius","Scaptius vinasia","Scaptius vinasia","Schaus, 1910","1805891",
,"Microxydia sp_san_luis_a","Microxydia Warren, 1895","1954241","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Microxydia",,"Microxydia","Warren, 1895","1954241",
,"Crinodes besckei","Crinodes besckei Hübner, 1824","1824179","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Crinodes","Crinodes besckei","Crinodes besckei","Hübner, 1824","1824179",
,"Argyria lacteella","Argyria lacteella Fabricius, 1794","5126721","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Argyria","Argyria lacteella","Argyria lacteella","Fabricius, 1794","5126721",
,"Eucereon sp_san_luis_c","Eucereon Hübner, 1819","1810140","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon",,"Eucereon","Hübner, 1819","1810140",
,"Racasta spatiaria","Racasta spatiaria (Guenée)","1988833","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Racasta","Racasta spatiaria","Racasta spatiaria","(Guenée) ","1988833",
,"Gn sp_san_luis_2028",,,"NONE","100",,,,,,,,,,,,,
,"Cosmosoma pudica","Cosmosoma pudica Druce, 1894","5116247","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cosmosoma","Cosmosoma pudica","Cosmosoma pudica","Druce, 1894","5116247",
,"Macaria regulata","Macaria regulata (Fabricius, 1775)","10127068","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Macaria","Macaria regulata","Macaria regulata","(Fabricius, 1775) ","10127068",
,"Phrudocentra janeira","Phrudocentra janeira (Schaus, 1897)","1985018","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Phrudocentra","Phrudocentra janeira","Phrudocentra janeira","(Schaus, 1897) ","1985018",
,"moth Pyralidae Acrobasis",,,"NONE","100",,,,,,,,,,,,,
,"Podalia contigua","Podalia contigua (Walker, 1866)","5105187","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Megalopygidae","Podalia","Podalia contigua","Podalia contigua","(Walker, 1866) ","5105187",
,"Therinia transversaria","Therinia transversaria Druce, 1887","10103570","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Therinia","Therinia transversaria","Therinia transversaria","Druce, 1887","10103570",
,"Oxydia translinquens","Oxydia translinquens (Walker, 1860)","1976653","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Oxydia","Oxydia translinquens","Oxydia translinquens","(Walker, 1860) ","1976653",
,"Spragueia apicalis","Spragueia apicalis (Herrich-Schäffer, 1868)","7911151","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spragueia","Spragueia apicalis","Spragueia apicalis","(Herrich-Schäffer, 1868) ","7911151",
,"Hypercompe albescens","Hypercompe albescens Hampson, 1901","1811100","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypercompe","Hypercompe albescens","Hypercompe albescens","Hampson, 1901","1811100",
,"Rhescyntis hippodamia","Rhescyntis hippodamia Cramer, 1777","1865837","EXACT","98","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Rhescyntis","Rhescyntis hippodamia","Rhescyntis hippodamia","Cramer, 1777","1865837",
,"= I_PBA14372",,,"NONE","100",,,,,,,,,,,,,
,"moth species group2",,,"NONE","100",,,,,,,,,,,,,
,"Sericoptera reductata","Sericoptera reducta Warren, 1909","1966085","FUZZY","92","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Sericoptera","Sericoptera area","Sericoptera reducta","Warren, 1909","1966085","1966072"
,"Argyrotome prospectata","Argyrotome prospectata (Snellen, 1874)","1967346","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Argyrotome","Argyrotome prospectata","Argyrotome prospectata","(Snellen, 1874) ","1967346",
,"Crinodes ritsemae","Crinodes ritsemae Druce, 1898","1824191","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Crinodes","Crinodes besckei","Crinodes ritsemae","Druce, 1898","1824191","1824179"
,"Polla hemeraria","Polla hemeraria Dyar, 1910","5144043","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Polla","Polla hemeraria","Polla hemeraria","Dyar, 1910","5144043",
,"Cosmosoma stibostictum","Cosmosoma stibosticta Butler, 1876","5116208","FUZZY","95","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cosmosoma","Cosmosoma stibosticta","Cosmosoma stibosticta","Butler, 1876","5116208",
,"Thysanoprymna haemorrhoides","Thysanoprymna haemorrhoides Schaus, 1905","1815297","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Thysanoprymna","Thysanoprymna haemorrhoides","Thysanoprymna haemorrhoides","Schaus, 1905","1815297",
,"Macrodes cynara","Macrodes cynara Cramer, 1775","1777723","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Macrodes","Macrodes cynara","Macrodes cynara","Cramer, 1775","1777723",
,"Hypena livia","Hypena livia Druce, 1890","11540684","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena livia","Hypena livia","Druce, 1890","11540684",
,"Ormetica maura--triangularis","Ormetica Clemens, 1861","1803615","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ormetica",,"Ormetica","Clemens, 1861","1803615",
,"Dysschema magdala","Dysschema magdala Boisduval, 1870","5117551","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dysschema","Dysschema magdala","Dysschema magdala","Boisduval, 1870","5117551",
,"Ormetica taeniata--temperata","Ormetica Clemens, 1861","1803615","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ormetica",,"Ormetica","Clemens, 1861","1803615",
,"Trauaxa lua","Trauaxa lua Druce, 1890","1788533","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Trauaxa","Trauaxa lua","Trauaxa lua","Druce, 1890","1788533",
,"moth Meganola",,,"NONE","100",,,,,,,,,,,,,
,"Syntomeida melanthus","Syntomeida melanthus Cramer","1809127","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Syntomeida","Syntomeida melanthus","Syntomeida melanthus","Cramer","1809127",
,"Phalaenophana pyramusalis Dark-banded Owlet","Phalaenophana pyramusalis (Walker, 1859)","9342938","EXACT","96","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Phaeolita","Phaeolita pyramusalis","Phalaenophana pyramusalis","(Walker, 1859) ","9342938","1790832"
,"Lepidodes gallopavo","Lepidodes gallopavo Druce","5110889","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lepidodes","Lepidodes limbulata","Lepidodes gallopavo","Druce","5110889","5110891"
,"Pantographa expansalis","Pantographa Lederer, 1863","1884683","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Pantographa",,"Pantographa","Lederer, 1863","1884683",
,"Sematura luna","Sematura lunus (Linnaeus, 1758)","9527128","FUZZY","96","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Sematuridae","Nothus","Nothus lunus","Sematura lunus","(Linnaeus, 1758) ","9527128","5143285"
,"Schrankia macula","Schrankia macula Druce, 1891","9522383","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Schrankia","Schrankia macula","Schrankia macula","Druce, 1891","9522383",
,"Polypoetes villia","Polypoetes villia Druce, 1897","1824722","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Polypoetes","Polypoetes villia","Polypoetes villia","Druce, 1897","1824722",
,"Urania fulgens","Urania fulgens Walker, 1854","5143232","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Uraniidae","Urania","Urania fulgens","Urania fulgens","Walker, 1854","5143232",
,"Opisthoxia uncinata","Opisthoxia uncinata (Schaus, 1912)","1960250","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Opisthoxia","Opisthoxia uncinata","Opisthoxia uncinata","(Schaus, 1912) ","1960250",
,"Castrica phalaenoides","Castrica phalaenoides Drury, 1773","1809033","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Castrica","Castrica phalaenoides","Castrica phalaenoides","Drury, 1773","1809033",
,"Hyalorista sp_san_luis_a","Hyalorista Warren, 1892","1891030","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hyalorista",,"Hyalorista","Warren, 1892","1891030",
,"Pseudophaloe troetschi","Pseudophaloe troetschi Druce, 1884","1809200","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pseudophaloe","Pseudophaloe troetschi","Pseudophaloe troetschi","Druce, 1884","1809200",
,"Hypena hemonalis","Hypena hemonalis Walker, 1859","9436584","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena hemonalis","Hypena hemonalis","Walker, 1859","9436584",
,"Melese asana","Melese asana Druce, 1884","1817601","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Melese","Melese asana","Melese asana","Druce, 1884","1817601",
,"Eucereon aeolum","Eucereon aeolum Hampson, 1898","1810348","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon aeolum","Eucereon aeolum","Hampson, 1898","1810348",
,"Nematocampa straminea","Nematocampa straminea (Warren, 1900)","1991021","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nematocampa","Nematocampa straminea","Nematocampa straminea","(Warren, 1900) ","1991021",
,"Isochromodes granula","Isochromodes granula (Dognin, 1896)","1975658","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Isochromodes","Isochromodes granula","Isochromodes granula","(Dognin, 1896) ","1975658",
,"Eucereon sp_san_luis_a","Eucereon Hübner, 1819","1810140","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon",,"Eucereon","Hübner, 1819","1810140",
,"moth micro",,,"NONE","100",,,,,,,,,,,,,
,"Morpho peleides","Morpho peleides Kollar, 1850","5133433","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Morpho","Morpho peleides","Morpho peleides","Kollar, 1850","5133433",
,"= I_PBA17329",,,"NONE","100",,,,,,,,,,,,,
,"Tornos erectarius","Tornos erectarius Grossbeck, 1909","1975391","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Tornos","Tornos erectarius","Tornos erectarius","Grossbeck, 1909","1975391",
,"Bagisara patula","Bagisara patula Druce, 1898","1767587","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Bagisara","Bagisara patula","Bagisara patula","Druce, 1898","1767587",
,"Dysschema leucophaea","Dysschema leucophaea Walker, 1854","5117462","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dysschema","Dysschema leucophaea","Dysschema leucophaea","Walker, 1854","5117462",
,"Cyphoedma transvolutata","Cyphoedma transvolutata (Walker, 1860)","1986882","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Cyphoedma","Cyphoedma transvolutata","Cyphoedma transvolutata","(Walker, 1860) ","1986882",
,"truebug",,,"NONE","100",,,,,,,,,,,,,
,"Viviennea ardesiaca","Viviennea ardesiaca Rothschild, 1909","1807998","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Viviennea","Viviennea ardesiaca","Viviennea ardesiaca","Rothschild, 1909","1807998",
,"Spilomela pantheralis",,,"NONE","100",,,,,,,,,,,,,
,"Perigea hippia--micrippia","Perigea Guenée, 1852","1790726","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Perigea",,"Perigea","Guenée, 1852","1790726",
,"Gonodonta pyrgo","Gonodonta pyrgo Cramer","1770044","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Gonodonta","Gonodonta pyrgo","Gonodonta pyrgo","Cramer","1770044",
,"Cathydata batina","Cathydata batina Druce, 1892","1964698","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Cathydata","Cathydata batina","Cathydata batina","Druce, 1892","1964698",
,"moth Clemensia",,,"NONE","100",,,,,,,,,,,,,
,"Lophocampa modesta","Lophocampa modesta Kirby, 1892","1817774","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa","Lophocampa modesta","Lophocampa modesta","Kirby, 1892","1817774",
,"moth Eulepidotis",,,"NONE","100",,,,,,,,,,,,,
,"Bertholdia albipuncta","Bertholdia albipuncta Schaus, 1896","5115488","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Bertholdia","Bertholdia albipuncta","Bertholdia albipuncta","Schaus, 1896","5115488",
,"Isanthrene monticola","Isanthrene monticola Schaus, 1911","1811196","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Isanthrene","Isanthrene monticola","Isanthrene monticola","Schaus, 1911","1811196",
,"Carales arizonensis--astur","Carales Walker, 1855","1809292","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Carales",,"Carales","Walker, 1855","1809292",
,"Eucereon patrona","Eucereon patrona Schaus, 1896","1810274","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon patrona","Eucereon patrona","Schaus, 1896","1810274",
,"Opisthoxia phrynearia","Opisthoxia phrynearia (Schaus, 1912)","1960279","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Opisthoxia","Opisthoxia phrynearia","Opisthoxia phrynearia","(Schaus, 1912) ","1960279",
,"Eusarca melenda","Eusarca melenda (Druce, 1892)","10278975","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eusarca","Eusarca melenda","Eusarca melenda","(Druce, 1892) ","10278975",
,"Semiothisa valmonaria","Semiothisa valmonaria Schaus, 1901","1958935","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Semiothisa","Semiothisa valmonaria","Semiothisa valmonaria","Schaus, 1901","1958935",
,"Herminodes subclara","Herminodes Guenée, 1852","4696204","HIGHERRANK","94","SYNONYM","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Scolecocampa",,"Herminodes","Guenée, 1852","4696204","1765176"
,"Ascalapha odorata","Ascalapha odorata (Linnaeus, 1758)","1775796","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ascalapha","Ascalapha odorata","Ascalapha odorata","(Linnaeus, 1758) ","1775796",
,"= I_PBA20160",,,"NONE","100",,,,,,,,,,,,,
,"Renia discoloralis","Renia discoloralis Guenée, 1854","5112060","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Renia","Renia discoloralis","Renia discoloralis","Guenée, 1854","5112060",
,"Spodoptera dolichos","Spodoptera dolichos Fabricius, 1794","5109881","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","Spodoptera dolichos","Spodoptera dolichos","Fabricius, 1794","5109881",
,"Hemeroblemma opigena","Hemeroblemma opigena Drury, 1773","1786219","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hemeroblemma","Hemeroblemma opigena","Hemeroblemma opigena","Drury, 1773","1786219",
,"Argyrotome alba","Argyrotome alba (Druce, 1892)","1967353","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Argyrotome","Argyrotome alba","Argyrotome alba","(Druce, 1892) ","1967353",
,"Eois isographata","Eois isographata Walker","1989782","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eois","Eois isographata","Eois isographata","Walker","1989782",
,"Cosmosoma impudica","Cosmosoma impudica Schaus, 1911","5116151","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cosmosoma","Cosmosoma impudica","Cosmosoma impudica","Schaus, 1911","5116151",
,"Hypercompe caudata","Hypercompe caudata Walker, 1855","1811019","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypercompe","Hypercompe caudata","Hypercompe caudata","Walker, 1855","1811019",
,"Symphlebia ipsea","Symphlebia ipsea Druce, 1884","1805261","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Symphlebia","Symphlebia ipsea","Symphlebia ipsea","Druce, 1884","1805261",
,"Neonerita dorsipuncta","Neonerita dorsipuncta Hampson, 1901","1805478","EXACT","98","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Neonerita","Neonerita dorsipuncta","Neonerita dorsipuncta","Hampson, 1901","1805478",
,"Hypocrita reedia","Hypocrita reedia Schaus, 1910","1805395","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypocrita","Hypocrita reedia","Hypocrita reedia","Schaus, 1910","1805395",
,"Pseudasellodes fenestraria","Pseudasellodes fenestraria (Guenée)","1957051","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Pseudasellodes","Pseudasellodes fenestraria","Pseudasellodes fenestraria","(Guenée) ","1957051",
,"Renia vinasalis","Renia vinasalis Schaus, 1912","5112092","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Renia","Renia vinasalis","Renia vinasalis","Schaus, 1912","5112092",
,"Celiptera levina","Celiptera levina Stoll, 1781","1792827","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Celiptera","Celiptera levina","Celiptera levina","Stoll, 1781","1792827",
,"Phrygionis polita","Phrygionis polita (Cramer)","1968313","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Phrygionis","Phrygionis polita","Phrygionis polita","(Cramer) ","1968313",
,"Bernathonomus piperita","Bernathonomus piperita Herrich-Schäffer, 1855","1817532","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Bernathonomus","Bernathonomus piperita","Bernathonomus piperita","Herrich-Schäffer, 1855","1817532",
,"Herminodes partina","Herminodes Guenée, 1852","4696204","HIGHERRANK","94","SYNONYM","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Scolecocampa",,"Herminodes","Guenée, 1852","4696204","1765176"
,"Bagisara repanda","Bagisara repanda Fabricius, 1793","1767571","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Bagisara","Bagisara repanda","Bagisara repanda","Fabricius, 1793","1767571",
,"Mesothen temperata","Mesothen temperata Schaus, 1911","1812543","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Mesothen","Mesothen temperata","Mesothen temperata","Schaus, 1911","1812543",
,"Macaria pernicata","Macaria pernicata Guenée","10325227","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Macaria","Macaria pernicata","Macaria pernicata","Guenée","10325227",
,"Perasia garnoti","Perasia garnoti Guenée, 1852","1787464","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Perasia","Perasia garnoti","Perasia garnoti","Guenée, 1852","1787464",
,"Sennia auritalis","Sennia auritalis","10251952","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Sennia","Sennia auritalis","Sennia auritalis",,"10251952",
,"Notarctia proxima","Notarctia proxima Guérin-Méneville, 1844","1815414","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Notarctia","Notarctia proxima","Notarctia proxima","Guérin-Méneville, 1844","1815414",
,"Ormetica sp_san_luis_a","Ormetica Clemens, 1861","1803615","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ormetica",,"Ormetica","Clemens, 1861","1803615",
,"spider",,,"NONE","100",,,,,,,,,,,,,
,"Massala hieroglyphica","Massala hieroglyphica Walker, 1867","1796606","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Massala","Massala hieroglyphica","Massala hieroglyphica","Walker, 1867","1796606",
,"Nesara casada","Nesara casada (Schaus, 1911)","1733038","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Nesara","Nesara casada","Nesara casada","(Schaus, 1911) ","1733038",
,"Eucereon decora","Eucereon Hübner, 1819","1810140","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon",,"Eucereon","Hübner, 1819","1810140",
,"Elaphria deltoides","Elaphria deltoides Möschler, 1880","1780440","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Elaphria","Elaphria deltoides","Elaphria deltoides","Möschler, 1880","1780440",
,"Micranthops alceste","Micranthops alceste Druce, 1890","1793681","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Micranthops","Micranthops alceste","Micranthops alceste","Druce, 1890","1793681",
,"Lesmone formularis","Lesmone formularis Geyer, 1837","8331687","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lesmone","Lesmone formularis","Lesmone formularis","Geyer, 1837","8331687",
,"Stenoma luctifica","Stenoma luctifica Zeller, 1877","1836730","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Depressariidae","Stenoma","Stenoma luctifica","Stenoma luctifica","Zeller, 1877","1836730",
,"Mimosema consociata","Mimosema consociata (Schaus, 1911)","1960218","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Mimosema","Mimosema consociata","Mimosema consociata","(Schaus, 1911) ","1960218",
,"Scopula compensata","Scopula compensata (Walker, 1861)","5145466","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Scopula","Scopula compensata","Scopula compensata","(Walker, 1861) ","5145466",
,"moth Eucereon",,,"NONE","100",,,,,,,,,,,,,
